# u v d x y z 
314.417496 200.476484 57.285942 24.977711 5.777187 13.854198
315.315590 186.282263 57.384445 25.076214 5.704349 15.023370
314.806499 174.622564 56.317661 24.009428 5.738168 15.879573
313.883133 160.369463 54.827896 22.519665 5.799438 16.856817
311.891518 145.292044 53.042252 20.734020 5.934748 17.796171
310.561504 143.665180 51.862938 19.554707 6.019628 17.757147
299.303474 149.433088 50.751160 18.442928 6.820864 17.185961
309.725513 151.786537 50.589893 18.281662 6.062881 16.995008
303.319435 140.150642 49.601551 17.293320 6.502305 17.694971
324.433899 151.826820 53.584106 21.275875 4.980920 17.369255
348.306541 148.017712 53.653774 21.345541 3.150685 17.669991
351.287193 182.558985 52.692886 20.384653 2.965170 14.943615
341.891479 183.694925 51.084885 18.776653 3.722727 14.728765
334.528961 186.700344 51.071533 18.763302 4.260307 14.508417
328.579483 189.519882 50.930428 18.622196 4.696108 14.292530
322.640457 192.464190 50.812138 18.503904 5.128662 14.070275
316.119061 194.940176 50.634758 18.326527 5.601059 13.879129
328.273544 184.727383 50.257080 17.948849 4.726325 14.588053
325.096016 186.117983 49.835972 17.527739 4.957524 14.455798
321.918793 187.162085 49.493500 17.185266 5.184662 14.355615
319.213734 188.398161 49.139359 16.831125 5.375526 14.242110
332.948570 185.898571 50.039684 17.731453 4.394698 14.487164
329.439507 186.988935 49.572063 17.263832 4.651851 14.373805
326.147499 188.827801 49.177116 16.868885 4.888452 14.214712
322.759514 189.646683 48.786461 16.478228 5.128007 14.129082
337.848015 187.604342 49.981911 17.673677 4.045933 14.360903
335.106239 188.766718 49.598072 17.289839 4.249988 14.249813
332.353935 189.788933 49.251724 16.943491 4.451113 14.152540
328.076820 191.080427 48.804230 16.495998 4.757212 14.030397
343.077507 190.001907 50.035732 17.727499 3.670759 14.193554
339.739151 191.220245 49.568386 17.260153 3.922562 14.073901
337.969551 192.293816 49.344299 17.036068 4.053623 13.982607
335.121880 192.966127 49.074486 16.766253 4.260190 13.917086
300.711765 150.804749 53.780083 21.471851 6.802221 17.472464
278.530693 145.175257 54.228878 21.920645 8.532951 17.965765
267.813663 159.077883 51.754513 19.446280 9.178729 16.602688
270.261002 147.383652 50.106098 17.797867 8.880655 17.249201
263.684959 145.470629 48.997425 16.689194 9.262177 17.236418
264.239330 142.219305 48.482559 16.174326 9.182360 17.392078
264.649925 141.010695 48.215919 15.907687 9.132837 17.438082
265.815277 138.837261 47.902702 15.594470 9.028323 17.542521
268.259354 141.834297 48.929108 16.620874 8.936935 17.481365
268.716774 139.306870 48.501240 16.193008 8.873617 17.596483
269.388943 136.879292 48.111530 15.803297 8.798867 17.707273
270.893078 133.487005 47.595448 15.287216 8.659283 17.861900
273.166752 139.671364 48.940735 16.632502 8.594693 17.634220
273.900738 136.264486 48.428532 16.120298 8.509645 17.796509
274.804497 133.988428 47.958344 15.650110 8.416761 17.882765
275.793686 130.845137 47.525715 15.217484 8.321670 18.030657
278.729458 139.086800 49.077595 16.769361 8.213843 17.694818
279.445629 136.365824 48.598881 16.290649 8.135899 17.814716
280.568771 133.930693 48.205551 15.897318 8.035766 17.924179
281.150532 131.597729 47.802715 15.494485 7.973346 18.022457
277.142868 147.981205 49.842949 17.534716 8.371940 17.171835
282.103729 147.906790 49.499111 17.190878 8.000091 17.131897
287.196217 148.056536 49.171722 16.863491 7.624643 17.078308
292.540874 147.252045 48.800476 16.492245 7.234643 17.085630
328.288574 211.133223 57.254478 24.946245 4.642391 12.980783
325.601578 261.921115 55.712040 23.403809 4.874508 8.875038
323.027000 318.758183 57.128773 24.820541 5.073288 4.192055
320.428886 346.921477 55.876263 23.568033 5.286096 2.084893
317.523022 351.431766 54.748920 22.440689 5.514061 1.904325
299.688530 209.681196 57.465385 25.157152 6.987768 13.108683
293.303719 236.328163 53.687767 21.379534 7.367851 10.901327
294.822083 296.226182 55.049515 22.741285 7.300376 6.197962
288.836670 314.470925 52.940784 20.632555 7.677204 4.987496
287.665882 310.685062 51.846947 19.538717 7.715224 5.384274
