# u v d x y z 
323.192291 283.907104 63.852753 -10.273742 -5.811373 8.630116
323.280563 273.924365 63.152882 -10.278512 -5.111502 9.574640
324.096069 259.406447 62.798248 -10.350013 -4.756868 10.894256
324.823189 239.824934 62.500828 -10.413193 -4.459448 12.650873
325.738716 217.198906 62.358940 -10.493775 -4.317558 14.666460
323.066139 206.658783 62.995087 -10.258477 -4.953704 15.635718
324.108887 197.008810 64.140869 -10.359042 -6.099489 16.574518
316.096115 195.666962 63.841576 -9.626502 -5.800196 16.678516
322.757988 183.171015 63.776196 -10.233823 -5.734815 17.812866
315.267086 225.173836 62.263882 -9.561562 -4.222499 13.954006
296.240406 225.381861 61.443470 -7.897016 -3.402089 13.918371
272.109547 207.210903 62.408028 -5.712905 -4.366647 15.558534
282.076187 189.770479 62.295509 -6.607569 -4.254127 17.105347
288.293514 187.854395 62.359093 -7.157992 -4.317712 17.280603
293.056698 184.803486 62.404285 -7.580578 -4.362906 17.555956
297.855644 181.985722 62.463226 -8.006536 -4.421846 17.812040
302.838764 178.561449 62.465309 -8.451143 -4.423929 18.117783
290.790119 178.488121 61.916340 -7.398876 -3.874957 18.076086
292.418156 173.085737 61.848885 -7.545537 -3.807502 18.547487
294.146042 168.624372 61.777489 -7.700842 -3.736109 18.934395
295.488319 164.063501 61.723747 -7.821186 -3.682364 19.331078
286.899338 176.519108 62.024101 -7.049634 -3.982719 18.260021
288.619862 170.626688 61.918369 -7.206821 -3.876987 18.771646
290.442982 165.409012 61.882313 -7.369607 -3.840930 19.229332
292.130718 160.434380 61.779484 -7.522903 -3.738103 19.657419
283.354263 176.221848 62.209053 -6.725837 -4.167670 18.303211
284.728546 171.361055 62.140564 -6.851420 -4.099181 18.728476
286.144466 166.939316 62.071793 -6.980441 -4.030412 19.113825
288.462696 161.124916 61.968147 -7.190677 -3.926765 19.617733
279.973297 177.042475 62.472984 -6.410277 -4.431603 18.254021
281.630249 171.188450 62.374447 -6.563557 -4.333065 18.766788
282.623539 168.254156 62.355724 -6.653066 -4.314344 19.026333
284.222736 164.745855 62.280285 -6.799378 -4.238902 19.330742
335.387688 225.813589 62.627304 -11.359244 -4.585922 13.904467
356.093445 227.273283 62.527092 -13.206571 -4.485711 13.772050
375.189095 216.047544 64.475616 -15.065904 -6.434234 14.841455
373.125648 196.873856 64.104424 -14.847672 -6.063047 16.584637
378.795052 185.708084 64.254547 -15.379473 -6.213165 17.618816
378.925476 179.795237 64.151329 -15.382755 -6.109951 18.152693
378.849678 176.783524 64.131851 -15.374172 -6.090473 18.426943
378.343124 173.060217 64.056679 -15.321497 -6.015295 18.760872
375.786247 183.973331 64.002869 -15.083230 -5.961487 17.757912
375.901184 179.073172 63.931381 -15.088031 -5.890002 18.199724
375.831146 174.559736 63.859547 -15.075906 -5.818166 18.605223
375.311890 168.482294 63.754593 -15.020240 -5.713212 19.148932
372.314568 183.234930 63.833241 -14.753129 -5.791861 17.811668
372.384911 177.285175 63.722904 -14.751288 -5.681525 18.344345
372.194481 171.915751 63.683189 -14.730989 -5.641808 18.829273
372.018166 166.800356 63.578125 -14.707141 -5.536746 19.283667
368.089714 183.953648 63.739925 -14.361453 -5.698545 17.738657
368.119431 178.454304 63.668438 -14.359243 -5.627057 18.233126
367.768555 173.843365 63.597080 -14.322462 -5.555699 18.645769
367.823906 169.207592 63.539673 -14.323568 -5.498291 19.061138
367.926674 193.375626 64.184830 -14.377067 -6.143450 16.910353
364.378052 189.181337 64.243355 -14.055394 -6.201975 17.299187
360.755234 185.189867 64.313499 -13.726991 -6.272117 17.671001
357.125473 180.596781 64.327148 -13.394227 -6.285769 18.094156
310.612335 292.729912 64.080986 -9.123158 -6.039605 7.808122
302.072449 326.213794 66.737846 -8.273337 -8.696464 4.415639
303.980350 375.981209 64.384537 -8.509091 -6.343154 0.127975
298.506241 388.698463 66.206078 -7.949664 -8.164700 -1.428675
297.438641 384.111822 67.344841 -7.811986 -9.303458 -1.229311
336.051254 290.453653 64.352463 -11.458171 -6.311080 7.996933
331.858940 326.929893 66.765671 -11.113646 -8.724289 4.343911
337.244911 375.806308 64.241692 -11.565179 -6.200312 0.171776
344.055786 391.223495 65.824608 -12.244636 -7.783230 -1.585081
344.447784 388.303277 66.985878 -12.322054 -8.944500 -1.556507
