# u v d x y z 
320.169220 221.641617 52.385342 6.739986 -0.991652 10.388660
319.511356 207.016354 52.762642 6.690489 -0.614350 11.500938
319.730110 189.145031 52.923389 6.706916 -0.453603 12.859671
319.917564 165.625820 52.961956 6.721084 -0.415036 14.641934
319.448013 138.629007 52.633270 6.685818 -0.743721 16.636913
319.445076 124.587622 51.910610 6.686170 -1.466382 17.573542
318.926506 106.933136 50.942745 6.649197 -2.434246 18.698776
329.230576 108.074999 51.204197 7.402527 -2.172796 18.664951
322.974358 92.926254 51.494946 6.946128 -1.882046 19.834152
331.732407 148.377714 52.673359 7.610157 -0.703631 15.909151
355.577621 148.372908 53.062634 9.424239 -0.314360 15.960468
358.810806 186.377678 52.997654 9.665724 -0.379337 13.074586
359.365501 196.496458 51.429890 9.619554 -1.947103 12.211049
355.193291 195.548859 50.953495 9.289064 -2.423496 12.250420
352.354469 196.311121 50.508648 9.061865 -2.868344 12.167169
349.229813 196.943579 50.077362 8.818396 -3.299632 12.095007
346.705513 197.658119 49.582584 8.618933 -3.794409 12.013960
360.737915 199.965677 50.163242 9.646671 -3.213749 11.883720
361.786232 203.868570 49.768795 9.698251 -3.608196 11.583672
362.593880 206.810217 49.413052 9.734027 -3.963940 11.357659
363.487511 210.224218 49.084572 9.776702 -4.292419 11.102692
362.509766 204.711628 50.361004 9.785655 -3.015986 11.553587
364.054489 208.780861 49.921562 9.869134 -3.455431 11.241230
364.606934 212.723837 49.535183 9.883910 -3.841809 10.944974
365.947456 216.023569 49.145824 9.953215 -4.231166 10.698133
362.801208 208.211832 50.648087 9.824179 -2.728905 11.314804
363.888664 211.745310 50.294182 9.880672 -3.082808 11.044855
364.856567 214.861450 49.959660 9.928777 -3.417332 10.808952
366.004028 218.676567 49.486282 9.979562 -3.890707 10.522243
361.870155 211.104269 51.011162 9.778529 -2.365828 11.120511
363.337326 215.255785 50.576794 9.858553 -2.800199 10.802622
363.642311 217.509928 50.360428 9.867101 -3.016565 10.632804
364.331818 219.614325 50.055214 9.897375 -3.321778 10.472518
307.405033 148.809242 52.766300 5.777907 -0.610690 15.888788
284.332523 149.648523 53.327499 4.010096 -0.049491 15.897960
280.135593 187.513647 53.410431 3.685642 0.033438 13.019531
276.435051 205.012693 52.295063 3.472704 -1.081929 11.628595
272.043571 220.081615 52.303055 3.144082 -1.073938 10.503065
270.262566 225.993547 52.015381 3.031448 -1.361613 10.055576
269.774761 229.175520 51.880974 3.004843 -1.496016 9.817053
269.011288 232.675295 51.657791 2.964515 -1.719199 9.555330
271.849403 219.400520 51.892258 3.157831 -1.484735 10.541866
270.490284 224.398584 51.664017 3.073219 -1.712975 10.166263
269.311752 228.933105 51.439648 3.002485 -1.937345 9.828043
267.970200 234.888668 51.107063 2.928620 -2.269928 9.387969
272.909775 217.944918 51.544655 3.259822 -1.832337 10.638820
271.079693 223.863630 51.249737 3.145675 -2.127255 10.196196
270.196133 229.531288 51.005447 3.098367 -2.371545 9.777591
268.687801 234.551611 50.732265 3.008487 -2.644728 9.409660
275.485268 215.064526 51.255775 3.467840 -2.121216 10.840628
274.118671 220.721397 51.000381 3.384514 -2.376611 10.419384
273.155632 225.293884 50.756664 3.330659 -2.620326 10.081122
271.988831 230.156393 50.545719 3.260523 -2.831273 9.725578
280.960426 207.380762 51.888237 3.833471 -1.488755 11.432725
283.929558 211.032429 51.541504 4.071428 -1.835488 11.147692
287.138805 214.557896 51.204521 4.323548 -2.172472 10.875862
289.789257 218.462648 50.808567 4.534514 -2.568425 10.578050
336.419563 231.666613 52.264751 7.953271 -1.112239 9.636993
328.429108 288.860264 51.092781 7.342559 -2.284209 5.448494
320.806503 346.240268 52.996841 6.788381 -0.380151 0.971363
321.958313 373.935707 51.289867 6.870808 -2.087123 -0.798845
322.395439 375.907831 50.128773 6.898863 -3.248218 -0.717915
304.863567 233.059216 52.260929 5.597258 -1.116064 9.532978
305.357857 282.180462 49.620697 5.689387 -3.756296 6.024755
303.826923 338.838329 51.889668 5.528442 -1.487322 1.688092
295.506954 370.866022 50.953304 4.944461 -2.423687 -0.511004
292.698212 378.305869 49.846458 4.783182 -3.530532 -0.833864
