# u v d x y z 
238.838081 225.977325 66.264267 0.147275 -1.432964 10.037284
235.029049 214.255571 66.346260 0.229269 -1.062435 11.149918
236.270180 199.869576 66.340172 0.223183 -1.180798 12.513081
239.670315 181.359329 66.325203 0.208209 -1.504752 14.266073
245.276833 160.710468 66.239098 0.122105 -2.045162 16.212805
254.358425 152.116442 66.207787 0.090796 -2.907465 17.022102
266.854820 148.308306 65.434456 -0.682533 -4.148118 17.280989
269.956932 150.508375 66.189026 0.072035 -4.384153 17.171799
273.723450 137.492094 65.833511 -0.283476 -4.763802 18.350502
244.950962 169.023256 67.182945 1.065955 -1.913135 15.521889
242.755146 169.382143 68.987190 2.870202 -1.503291 15.669463
230.218868 195.807381 69.276680 3.159690 -0.230671 13.083448
235.363617 211.944523 70.036552 3.919562 -0.647956 11.516864
239.156837 215.672951 69.854027 3.737037 -1.048555 11.137485
241.871586 219.806986 69.775528 3.658538 -1.328225 10.722678
244.573040 223.825264 69.676338 3.559346 -1.608192 10.319847
247.675819 228.219481 69.638222 3.521231 -1.920975 9.881815
242.349358 222.555857 70.464622 4.347632 -1.299409 10.465845
243.142166 227.096272 70.662971 4.545980 -1.357439 10.012447
244.160042 230.889788 70.826233 4.709244 -1.442501 9.631627
244.778252 234.669914 70.991760 4.874774 -1.487265 9.250414
238.631458 223.192406 70.580177 4.463190 -0.911720 10.404541
239.671402 228.017464 70.823219 4.706231 -0.988685 9.922198
240.439873 232.541428 70.983818 4.866830 -1.048181 9.466191
241.554852 236.572866 71.191101 5.074109 -1.138019 9.058396
234.905872 222.868252 70.563599 4.446611 -0.538089 10.436821
235.629463 226.914625 70.751358 4.634371 -0.588400 10.032436
236.441536 230.600824 70.921471 4.804479 -0.650172 9.662142
237.905617 235.510454 71.140038 5.023046 -0.772874 9.166120
230.927944 221.953239 70.439865 4.322878 -0.152837 10.525867
231.921749 226.806536 70.678841 4.561853 -0.222772 10.041994
232.336483 229.375563 70.769508 4.652523 -0.253294 9.783976
233.459091 232.390652 70.905106 4.788116 -0.350024 9.480626
242.140179 167.741232 65.350601 -0.766386 -1.847175 15.455786
234.134674 165.555754 63.573032 -2.543959 -1.317842 15.470777
223.572731 195.568142 63.392612 -2.724379 -0.383476 12.733641
233.308487 205.348606 62.256203 -3.860788 -1.405892 11.791658
235.189037 217.806358 61.963673 -4.153316 -1.608587 10.674423
235.984859 221.733656 61.571495 -4.545494 -1.726102 10.316546
236.771736 223.756714 61.386723 -4.730268 -1.817285 10.134312
237.487926 225.790243 61.109283 -5.007707 -1.912794 9.950350
234.939995 215.952387 61.580185 -4.536806 -1.633140 10.825361
235.720730 219.255638 61.265507 -4.851483 -1.739710 10.525442
236.478748 222.169991 60.965054 -5.151936 -1.841901 10.262719
237.649155 225.783606 60.538425 -5.578566 -1.994027 9.939336
235.368233 213.318157 61.285847 -4.831143 -1.706399 11.045878
236.131248 217.193756 60.887482 -5.229509 -1.820931 10.693586
237.521191 220.742083 60.555016 -5.561974 -1.981005 10.375799
238.214302 223.920822 60.197880 -5.919109 -2.082691 10.092612
236.443424 209.344826 61.089581 -5.027408 -1.823961 11.385155
237.457771 212.991858 60.739330 -5.377659 -1.953784 11.053362
238.401165 215.753918 60.423378 -5.693611 -2.072474 10.802752
239.279804 218.910198 60.132221 -5.984770 -2.181892 10.521534
237.752018 204.157276 61.889664 -4.227325 -1.844156 11.878843
241.418819 204.601736 61.539387 -4.577603 -2.207673 11.821834
245.215836 204.892216 61.203865 -4.913126 -2.577327 11.779470
248.730431 205.416012 60.798698 -5.318293 -2.925874 11.713655
242.171917 235.204439 67.389328 1.272339 -1.623467 9.171522
267.366295 272.889690 66.907959 0.790970 -4.085137 5.566164
264.686680 324.142613 66.830894 0.713906 -3.835101 0.676530
283.159332 342.181377 66.723793 0.606801 -5.604372 -1.030046
295.119267 341.178274 66.556702 0.439715 -6.750329 -0.910278
237.795868 233.692474 65.038780 -1.078206 -1.478218 9.295901
241.253567 280.755687 65.152122 -0.964865 -1.786731 4.916538
204.743519 318.117056 65.317268 -0.799721 1.638612 1.420720
204.070072 344.709992 65.126358 -0.990630 1.669835 -1.032120
213.484478 352.934046 65.084099 -1.032893 0.787511 -1.790447
