# u v d x y z 
263.354988 244.851079 49.657696 0.191544 1.837996 9.341098
258.607731 228.960371 49.606380 0.242859 1.505729 10.467567
266.506252 211.365252 49.533180 0.316060 2.071061 11.711473
278.988590 189.465036 49.470760 0.378481 2.957990 13.256664
293.630733 164.793806 49.333145 0.516095 3.997971 14.985456
307.362404 155.271978 49.398407 0.450832 4.964545 15.664416
323.812218 142.847157 48.953403 0.895836 6.122971 16.479462
323.739014 143.770666 49.750263 0.098977 6.122108 16.524424
322.187614 125.835743 49.296696 0.552545 6.010431 17.725117
287.655983 173.327351 50.286339 -0.437099 3.532853 14.474835
279.906197 169.089546 51.958118 -2.108880 2.880372 14.948622
303.832245 199.987879 52.049171 -2.199931 4.654200 12.660370
325.130539 190.727634 51.513889 -1.664650 6.233933 13.311247
327.560539 185.257788 51.101311 -1.252072 6.408302 13.681515
331.388397 181.118174 50.776131 -0.926892 6.682453 13.956361
334.982185 176.973095 50.439785 -0.590546 6.935938 14.226749
339.396973 172.166061 50.131302 -0.282061 7.245505 14.543236
339.077148 179.939976 51.224941 -1.375700 7.252408 14.080333
345.648499 178.252516 51.146019 -1.296779 7.730395 14.196856
351.094856 176.343355 51.071354 -1.222114 8.125021 14.329561
356.650505 174.972925 51.004574 -1.155335 8.526859 14.423343
341.288490 184.895239 51.349483 -1.500244 7.418016 13.727518
348.443680 182.846661 51.290066 -1.440827 7.940480 13.872944
354.811401 181.212330 51.177879 -1.328638 8.401474 13.983271
360.859184 179.131851 51.125351 -1.276112 8.840570 14.130809
341.499367 189.999304 51.409782 -1.560541 7.435338 13.357409
347.413902 188.512001 51.348721 -1.499482 7.867326 13.462150
352.801704 186.938467 51.288868 -1.439629 8.259744 13.573040
359.907646 184.301691 51.194752 -1.345512 8.775030 13.758745
340.363693 195.526800 51.411537 -1.562299 7.351983 12.951568
347.514381 193.594351 51.348991 -1.499751 7.874705 13.089350
351.113167 192.727661 51.285824 -1.436585 8.135891 13.148661
355.426445 190.825825 51.226551 -1.377313 8.448905 13.283836
289.726486 174.943113 48.487820 1.361419 3.759375 14.191611
285.505962 173.655825 46.646011 3.203227 3.557785 14.106218
295.960369 215.863008 46.893841 2.955398 4.245925 11.302197
321.784058 211.539688 47.261692 2.587546 5.976823 11.606777
337.208366 219.522028 47.253006 2.596232 7.018008 11.067582
345.133896 218.984385 47.325111 2.524128 7.555605 11.106039
349.042625 218.978405 47.391220 2.458019 7.822606 11.108430
353.867836 217.992325 47.468517 2.380720 8.153021 11.177618
339.340324 213.990927 47.338272 2.510966 7.164280 11.444123
345.840225 213.728428 47.405483 2.443757 7.606324 11.464396
351.768570 213.259134 47.474937 2.374302 8.010957 11.498832
359.612961 212.156439 47.590611 2.258628 8.549520 11.578220
339.879456 208.973379 47.478302 2.370939 7.204717 11.789647
347.759590 208.324528 47.549129 2.300109 7.742003 11.836862
354.630775 208.232546 47.666264 2.182975 8.214540 11.848425
361.288643 207.348032 47.735500 2.113737 8.671988 11.911885
338.208504 204.107351 47.678192 2.171048 7.096583 12.129940
345.381012 203.854351 47.764347 2.084894 7.588236 12.151621
351.297150 203.183298 47.853607 1.995632 7.995915 12.202105
357.280235 203.030233 47.925579 1.923662 8.408766 12.216370
325.053864 208.269253 47.736088 2.113154 6.201015 11.849091
329.559822 206.296892 48.106655 1.742583 6.513357 12.001436
333.705521 204.400148 48.485058 1.364182 6.805673 12.151031
338.676453 201.933546 48.843555 1.005686 7.159548 12.341374
262.958164 256.019926 50.826256 -0.977015 1.714621 8.522041
298.766308 303.247290 51.501118 -1.651877 4.294142 5.031937
289.705772 369.924231 51.149464 -1.300224 3.642749 0.191582
311.829052 394.008465 51.469990 -1.620751 5.255570 -1.638788
327.503204 393.060007 51.618874 -1.769633 6.409663 -1.601604
266.466331 256.477332 48.507950 1.341288 2.146643 8.543400
289.483051 314.911165 48.834816 1.014423 3.727384 4.459127
239.161453 365.950220 47.987137 1.862102 0.314640 1.050960
242.773628 402.496133 47.406059 2.443179 0.626372 -1.319485
257.071037 412.076805 47.378666 2.470572 1.597097 -1.961582
