# u v d x y z 
329.581108 250.923772 36.795746 3.850657 -7.761011 5.307851
309.295616 241.512408 36.801445 3.844955 -8.827412 5.802550
283.927021 235.614138 36.778698 3.867705 -10.159956 6.112500
250.238972 231.130600 36.747360 3.899039 -11.926836 6.347672
211.933613 227.522993 36.762421 3.883980 -13.940048 6.537327
190.143032 234.314260 36.629917 4.016483 -15.059859 6.179588
168.847847 235.375328 37.384926 3.261474 -16.337234 6.129053
161.817627 236.681242 36.616215 4.030185 -16.538988 6.055664
152.530947 216.934719 37.072113 3.574287 -17.133833 7.103604
223.403797 228.784275 35.842056 4.804346 -13.210654 6.456341
219.997921 217.549839 34.061550 6.584853 -13.130682 6.974473
222.589188 272.100492 32.814320 7.832080 -12.831030 4.377269
210.735531 290.747366 34.115170 6.531232 -13.589753 3.408841
212.415924 289.590755 34.696064 5.950339 -13.597136 3.424057
212.597485 291.037316 35.186478 5.459925 -13.663383 3.316601
213.171387 292.203269 35.675713 4.970689 -13.709198 3.221507
212.414341 293.573856 36.190834 4.455566 -13.826952 3.112230
199.247684 297.515044 35.117821 5.528580 -14.322586 2.996630
195.220490 303.528342 35.396992 5.249408 -14.574387 2.669617
191.792297 307.976990 35.656815 4.989588 -14.795328 2.419430
188.542995 312.947330 35.889248 4.757152 -15.004493 2.142027
198.764763 304.347897 34.862808 5.783595 -14.302647 2.677279
193.755589 310.634995 35.159668 5.486732 -14.605661 2.334202
190.510902 316.402874 35.453720 5.192682 -14.823031 2.012397
186.257591 321.201839 35.720665 4.925736 -15.089457 1.738372
200.826759 309.290071 34.596909 6.049494 -14.154681 2.457459
196.957798 314.718275 34.841442 5.804957 -14.388885 2.163074
193.427868 319.384890 35.076439 5.569962 -14.607073 1.904150
188.781242 324.916849 35.420906 5.225493 -14.904484 1.585161
205.121651 313.282986 34.319637 6.326766 -13.896907 2.289141
200.093842 319.700561 34.614136 6.032264 -14.193856 1.940969
198.210602 323.029833 34.778484 5.867918 -14.315575 1.756846
195.168552 326.118951 35.003017 5.643384 -14.506756 1.575745
228.340054 230.195332 37.676140 2.970261 -13.198064 6.409780
234.379177 223.248138 39.480392 1.166009 -13.093707 6.826877
245.594940 265.909796 40.935558 -0.289156 -12.615807 4.366875
229.296131 285.224762 39.715755 0.930647 -13.410892 3.316155
225.409889 305.649176 39.536007 1.110393 -13.607096 2.174197
219.315968 312.832289 39.305134 1.341267 -13.918073 1.792517
216.606026 316.617050 39.165680 1.480721 -14.049639 1.595264
212.285233 320.613127 38.983414 1.662989 -14.263344 1.392671
218.970032 303.596077 39.335011 1.311392 -13.941810 2.308417
214.093952 309.640517 39.140156 1.506245 -14.186331 1.988148
209.393864 315.052872 38.951050 1.695351 -14.419253 1.705794
202.672215 321.975160 38.670609 1.975791 -14.746269 1.353450
214.258366 300.347300 39.119984 1.526417 -14.174089 2.509513
207.909317 307.474809 38.888550 1.757850 -14.491851 2.133495
202.872238 314.148545 38.640079 2.006320 -14.730112 1.789055
197.043762 320.101862 38.429810 2.216590 -15.014909 1.484493
211.429958 294.982924 38.893108 1.753294 -14.296969 2.827125
205.951252 301.745038 38.665920 1.980482 -14.564360 2.471451
200.957775 307.048230 38.454063 2.192338 -14.804156 2.198811
196.311722 312.890468 38.264465 2.381934 -15.025883 1.897614
225.405502 285.396066 39.156979 1.489422 -13.556124 3.342673
221.286964 287.900920 38.688568 1.957832 -13.720454 3.234609
217.361412 290.204930 38.219215 2.427185 -13.868597 3.140930
211.973877 293.010664 37.742096 2.904305 -14.089121 3.023872
345.110321 255.645332 35.610973 5.035429 -6.987212 5.086141
418.405342 297.146044 36.101051 4.545350 -3.189593 2.934874
512.871742 278.591709 35.802444 4.843956 1.600038 3.908237
553.848152 303.608708 35.817337 4.829063 3.700810 2.627356
556.074066 325.158591 36.032669 4.613731 3.887326 1.498503
344.023476 254.175496 37.968990 2.677413 -6.961577 5.113164
415.105286 294.062948 37.743443 2.902957 -3.136645 2.967031
500.965271 268.381376 37.991257 2.655144 1.556924 4.341714
536.341743 294.084764 38.242279 2.404122 3.554499 2.927313
538.413239 315.358944 38.213699 2.432702 3.658751 1.768143
