# u v d x y z 
400.486069 286.771202 29.687906 0.265510 4.286388 8.399322
409.370918 264.503589 30.258190 0.715138 4.856672 9.323757
406.169968 234.005814 29.926928 0.535995 4.525410 10.639217
399.705658 194.335728 29.372046 0.196445 3.970527 12.299025
386.438332 149.897604 28.616619 -0.431951 3.215100 14.066415
373.534889 130.683775 27.832541 -1.019421 2.431021 14.729445
341.290359 113.780508 27.418816 -2.314072 2.017297 15.326933
353.483963 111.326408 26.757410 -1.868089 1.355891 15.301480
345.192451 80.311460 26.965996 -2.177523 1.564477 16.534607
409.529839 165.519533 28.270369 0.467764 2.868849 13.390936
454.231873 158.832378 27.424440 2.110897 2.022921 13.562915
491.706696 221.683588 26.655941 3.390567 1.254423 11.080437
483.057404 244.865685 25.238630 2.731055 -0.162887 10.207516
469.048767 249.524288 25.089970 2.194319 -0.311549 10.041572
459.113235 255.788713 24.870041 1.794494 -0.531478 9.821998
448.709412 262.064409 24.673077 1.388643 -0.728441 9.605239
438.221741 268.285460 24.399477 0.972775 -1.002041 9.397019
470.641632 255.932951 24.182205 2.056058 -1.219314 9.832529
470.266685 264.095464 23.774303 1.955542 -1.627214 9.564588
469.042320 270.674386 23.424814 1.839546 -1.976704 9.356461
468.763924 278.032064 23.083937 1.757787 -2.317582 9.128763
481.057968 261.829705 24.159004 2.410563 -1.242514 9.629543
481.121483 270.138302 23.694754 2.305897 -1.706764 9.362778
480.133324 279.091916 23.316109 2.185827 -2.085410 9.080847
479.629326 286.270480 22.915573 2.077702 -2.485945 8.868214
489.178886 266.476750 24.287910 2.721994 -1.113608 9.464285
489.371033 273.798409 23.915585 2.638572 -1.485934 9.228222
489.160881 280.496836 23.571983 2.548359 -1.829535 9.019248
487.760124 289.281149 23.108765 2.390175 -2.292754 8.756054
495.721588 270.813403 24.536572 3.011426 -0.864947 9.302870
496.134491 279.334502 24.076742 2.910198 -1.324776 9.030025
495.789070 284.413075 23.863495 2.844764 -1.538024 8.868876
494.577675 289.401340 23.572882 2.730989 -1.828636 8.719332
373.025970 168.094025 29.475895 -0.915169 4.074377 13.410796
346.374207 166.946211 30.980072 -1.980759 5.578554 13.616108
329.335785 221.788445 32.446568 -2.715275 7.045049 11.227096
298.822613 239.837523 31.679371 -4.106418 6.277853 10.390303
283.505802 259.895597 31.889530 -4.810556 6.488012 9.476576
273.087845 265.581622 31.777752 -5.277670 6.376235 9.221625
268.184872 268.994851 31.703873 -5.494781 6.302354 9.069736
261.429653 272.082725 31.584318 -5.790730 6.182800 8.935362
277.600174 255.849037 31.624552 -5.063546 6.223033 9.666923
269.095135 260.817647 31.531219 -5.440999 6.129702 9.445227
261.147804 265.198202 31.431171 -5.790571 6.029654 9.251508
250.257320 270.730591 31.261478 -6.262665 5.859961 9.010544
274.236412 251.652818 31.332722 -5.196434 5.931203 9.861357
263.514957 257.244129 31.217834 -5.667068 5.816316 9.613914
254.553452 263.244495 31.083412 -6.054155 5.681895 9.350780
245.097313 267.764840 30.966536 -6.461547 5.565017 9.154691
274.105301 246.427016 30.999498 -5.180456 5.597980 10.098329
264.500923 252.158461 30.886156 -5.596799 5.484637 9.846480
256.239243 256.545367 30.760872 -5.949918 5.359353 9.655878
248.099098 261.489487 30.667931 -6.298083 5.266413 9.441466
294.814568 242.272310 31.135233 -4.268229 5.733714 10.281879
289.181309 246.379437 30.720354 -4.500525 5.318836 10.102980
283.869133 250.502801 30.301098 -4.712016 4.899579 9.928311
276.630745 254.497333 29.876032 -4.999011 4.474514 9.764202
420.088081 305.773888 28.646511 0.947954 3.244992 7.691246
444.613724 270.374393 24.575754 1.226958 -0.825763 9.316558
407.587509 406.999447 23.253494 -0.238415 -2.148024 4.835348
405.122147 451.362378 20.947279 -0.600756 -4.454238 4.057997
409.420204 441.008928 19.947674 -0.599830 -5.453845 4.654862
372.494431 302.999740 30.125515 -0.888835 4.723997 7.671664
279.228115 261.671062 30.157743 -4.904563 4.756226 9.449306
245.576019 370.355752 28.218590 -6.148209 2.817072 5.128013
185.836639 389.901860 27.616566 -8.441054 2.215048 4.468986
160.904388 374.006703 27.585083 -9.417532 2.183565 5.102112
