# u v d x y z 
309.704437 227.932634 48.070385 -0.745056 -2.327351 9.080801
311.043262 211.145124 47.808357 -0.483027 -2.232058 10.222830
307.175236 191.548977 47.567917 -0.242587 -2.491830 11.544559
302.392654 165.606079 47.423321 -0.097991 -2.813190 13.292121
302.889557 136.164608 47.571297 -0.245965 -2.783142 15.308659
303.492031 122.213974 48.130444 -0.805115 -2.755385 16.350815
312.598534 110.974760 49.090996 -1.765665 -2.139399 17.300650
301.418705 109.042883 49.122471 -1.797140 -2.924275 17.442020
309.531250 92.347212 48.764359 -1.439028 -2.349622 18.538101
290.039177 147.574224 47.794537 -0.469208 -3.665996 14.562750
262.874432 147.863474 47.809155 -0.483824 -5.521941 14.544924
258.821087 159.969263 50.613113 -3.287783 -6.043841 14.038689
281.659756 156.341372 51.308704 -3.983375 -4.430603 14.384132
287.959518 161.070728 51.279781 -3.954452 -3.967518 14.034219
294.089909 164.278564 51.356808 -4.031479 -3.521276 13.807555
299.995861 167.703524 51.427002 -4.101673 -3.089981 13.563526
306.767387 170.535221 51.492386 -4.167058 -2.593733 13.361979
299.385910 156.197577 51.503162 -4.177833 -3.137035 14.417953
305.216656 155.437889 51.750813 -4.425484 -2.713262 14.503766
310.356083 154.932203 51.932224 -4.606894 -2.335805 14.563196
315.139523 154.309902 52.143505 -4.818176 -1.982394 14.635227
297.345982 154.027262 51.822701 -4.497371 -3.297467 14.616880
303.778610 152.858992 52.072720 -4.747390 -2.827036 14.734496
309.403152 152.618408 52.323620 -4.998292 -2.412428 14.783712
314.956150 151.677618 52.516582 -5.191253 -1.998742 14.878382
293.954544 153.264399 52.078136 -4.752808 -3.558047 14.705009
299.157486 152.464342 52.299339 -4.974011 -3.177547 14.792192
304.002285 151.796093 52.490425 -5.165095 -2.819943 14.866197
310.722466 151.115227 52.717514 -5.392185 -2.319031 14.946089
289.488907 153.642683 52.311420 -4.986092 -3.900446 14.705646
295.841389 152.528543 52.567936 -5.242608 -3.434574 14.820959
298.996067 152.389812 52.712238 -5.386908 -3.201997 14.849438
303.290176 151.996965 52.834965 -5.509636 -2.881567 14.894450
315.892296 146.522799 47.304562 0.020767 -1.897924 14.569108
340.003204 144.744415 46.371006 0.954322 -0.295235 14.562249
376.146812 161.206226 45.097790 2.227541 1.996949 13.328432
391.387215 159.148121 46.469322 0.856007 3.118688 13.619441
407.471199 156.040678 46.774292 0.551037 4.224529 13.862306
412.160835 156.018877 47.173489 0.151841 4.590448 13.911655
414.719200 156.430178 47.364155 -0.038825 4.788659 13.906702
417.080002 156.956921 47.647552 -0.322222 4.987700 13.904681
404.663429 157.499599 47.158756 0.166572 4.083412 13.810134
408.660812 157.572527 47.479942 -0.154612 4.393394 13.843040
412.107544 157.774715 47.786671 -0.461340 4.667542 13.865357
416.292191 158.417988 48.222790 -0.897460 5.013206 13.872270
401.390953 159.922514 47.457939 -0.132612 3.897733 13.681129
405.959282 159.862003 47.863098 -0.537770 4.257206 13.731613
410.369072 160.561552 48.205887 -0.880558 4.602983 13.722683
413.895226 160.663090 48.569084 -1.243755 4.894531 13.756856
396.967888 163.504171 47.662693 -0.337364 3.620377 13.460678
401.455383 163.703413 48.021004 -0.695673 3.967623 13.486165
404.798851 164.161434 48.344406 -1.019076 4.236167 13.489782
408.513718 164.312468 48.642365 -1.317036 4.530404 13.511568
391.833153 166.010799 46.866867 0.458463 3.189086 13.205885
393.891525 170.930357 47.242565 0.082764 3.366560 12.913578
395.778542 175.930738 47.604015 -0.278684 3.533041 12.609188
397.706451 180.459251 48.033356 -0.708027 3.711811 12.337742
293.826332 240.122552 47.625332 -0.300004 -3.401091 8.243773
295.131283 304.740958 46.888145 0.437183 -3.286117 3.915564
319.475670 370.246239 44.482300 2.843029 -1.653654 -0.024535
283.680840 382.534010 44.791016 2.534315 -3.944294 -0.868237
270.307331 373.545377 45.369980 1.955349 -4.841127 -0.403533
325.117912 239.397097 48.623093 -1.297762 -1.264835 8.293988
304.651699 291.648030 50.364861 -3.039532 -2.724641 4.536045
320.175400 354.441605 51.312019 -3.986689 -1.607478 -0.136789
300.595798 380.719142 51.565670 -4.240340 -3.049749 -2.113998
284.976044 382.945254 51.369419 -4.044089 -4.190564 -2.237911
