# u v d x y z 
323.521423 239.326172 96.587425 32.563557 0.636663 9.343185
322.214546 231.073608 96.343292 32.319424 0.817760 10.478779
325.743294 222.736530 95.744858 31.720995 0.336997 11.611480
331.469727 212.355652 94.932877 30.909014 -0.432949 12.999291
340.399780 203.317451 93.772636 29.748770 -1.610217 14.164235
348.078194 202.900028 93.146545 29.122681 -2.613713 14.186974
352.885170 200.210896 91.807793 27.783928 -3.190467 14.468707
357.152901 199.356508 92.329056 28.305189 -3.777864 14.611032
355.782509 190.722141 91.681885 27.658018 -3.564026 15.704332
340.043793 204.534130 94.945122 30.921255 -1.596105 14.060656
342.736282 197.801971 96.450394 32.426529 -2.010191 15.064518
346.018982 193.697491 99.193680 35.169815 -2.564469 15.811519
356.461868 189.999647 99.945190 35.921322 -4.083428 16.389202
360.130386 191.737661 99.976395 35.952526 -4.609005 16.143200
363.411179 192.638483 100.099609 36.075745 -5.085220 16.022879
366.612968 193.678579 100.216980 36.193111 -5.550889 15.881914
370.194397 194.332809 100.328804 36.304939 -6.071651 15.795545
365.041122 187.883091 100.204552 36.180687 -5.325053 16.710711
367.558289 186.665897 100.464790 36.440926 -5.703063 16.904779
369.851875 185.705709 100.659370 36.635506 -6.046102 17.057678
371.926689 184.695997 100.881073 36.857208 -6.360905 17.220390
363.374672 186.725092 100.493477 36.469608 -5.104403 16.898468
366.158295 185.230608 100.755386 36.731522 -5.521298 17.133512
368.643837 184.288731 101.022026 36.998161 -5.897589 17.290300
371.106758 183.047104 101.226501 37.202637 -6.267959 17.486128
361.252098 186.477098 100.724419 36.700554 -4.813293 16.951729
363.497124 185.323906 100.955917 36.932053 -5.150721 17.135746
365.624619 184.299688 101.157585 37.133717 -5.470697 17.299509
368.662682 183.034601 101.402138 37.378269 -5.926728 17.502230
358.727264 186.944218 100.937714 36.913849 -4.461788 16.900679
361.477203 185.477428 101.206070 37.182205 -4.874226 17.133087
362.869339 184.944363 101.359093 37.335224 -5.084870 17.222195
364.844437 184.177437 101.493744 37.469879 -5.379487 17.343983
334.442596 209.212990 93.445061 29.421192 -0.805429 13.360058
326.108971 211.574736 92.018372 27.994507 0.319502 12.986845
315.414505 230.754662 92.296936 28.273071 1.727165 10.469232
313.838539 242.406850 91.384041 27.360172 1.926924 8.935999
309.529629 250.220962 91.496117 27.472248 2.491124 7.914240
307.964668 253.646379 91.252586 27.228718 2.691492 7.471256
307.377396 255.514297 91.143112 27.119246 2.766073 7.230178
306.649418 257.631469 90.947281 26.923414 2.857125 6.959446
309.718914 250.357547 91.084579 27.060711 2.460339 7.902477
308.474522 253.247509 90.893753 26.869888 2.619118 7.530043
307.391205 255.888877 90.703453 26.679586 2.756356 7.191386
306.112900 259.416289 90.416298 26.392433 2.916297 6.742282
310.667477 250.142269 90.733688 26.709822 2.332234 7.935572
309.089355 253.564839 90.482376 26.458513 2.532870 7.496811
308.047028 256.881752 90.281868 26.258005 2.664178 7.072901
306.761856 259.794302 90.045349 26.021486 2.825459 6.703945
312.594776 249.254694 90.434875 26.411007 2.079255 8.054571
311.283207 252.535772 90.221970 26.198101 2.246049 7.634491
310.327091 255.243688 90.013222 25.989359 2.366397 7.290018
309.211998 258.032327 89.838120 25.814253 2.507088 6.935938
316.264877 244.822111 91.017136 26.993273 1.608212 8.623217
317.627888 247.665911 90.713760 26.689896 1.429961 8.256776
319.127598 250.443292 90.419319 26.395451 1.235244 7.901245
320.291672 253.427253 90.067169 26.043301 1.085025 7.522560
326.413040 242.825117 97.869919 33.846050 0.225922 8.855218
328.829231 274.041195 98.070831 34.046963 -0.114431 4.480997
302.275352 292.541943 99.649399 35.625538 3.645769 1.770535
303.456421 309.353299 100.009079 35.985214 3.486138 -0.658304
309.442463 314.731994 99.746284 35.722424 2.626948 -1.398703
320.435982 247.205729 95.745712 31.721844 1.062923 8.264612
343.013458 270.014806 95.779884 31.756021 -2.026341 5.143332
339.584198 300.410056 97.992020 33.968155 -1.619010 0.793492
353.239899 311.036711 97.262077 33.238213 -3.495992 -0.620045
360.217667 309.565730 96.618904 32.595039 -4.428568 -0.351739
