# u v d x y z 
337.978401 229.244099 42.629002 0.474586 -2.760849 9.406860
336.996727 209.969072 42.634220 0.534240 -2.766065 10.580906
335.576210 187.540283 42.627476 0.620910 -2.759322 11.946448
334.423752 158.696966 42.783794 0.687869 -2.915641 13.721057
333.442955 127.047672 43.134029 0.741088 -3.265876 15.711967
338.076286 114.243193 43.822800 0.437796 -3.954647 16.624720
346.736908 112.485151 45.138470 -0.154646 -5.270316 16.974447
334.970245 108.742733 45.171585 0.603402 -5.303432 17.221981
346.485214 93.379812 45.358749 -0.146749 -5.490596 18.252565
319.506302 140.243082 43.253059 1.599950 -3.384905 14.915828
289.476833 141.534348 43.206505 3.453443 -3.338351 14.829493
300.376854 173.431377 45.426559 2.842891 -5.558406 13.071816
319.387512 155.129099 45.823189 1.609539 -5.955036 14.307634
326.494675 151.828022 45.519451 1.147110 -5.651296 14.485469
333.291893 148.363123 45.374920 0.707847 -5.506765 14.691864
340.099945 145.154114 45.217159 0.271071 -5.349007 14.878499
347.118950 140.761986 45.070129 -0.176634 -5.201977 15.141370
332.435722 139.910831 45.788300 0.756001 -5.920145 15.298860
337.536049 135.430498 45.966545 0.417914 -6.098392 15.618553
341.885910 131.365328 46.084274 0.128593 -6.216122 15.903769
346.118050 127.702074 46.236965 -0.155724 -6.368810 16.169434
331.817665 142.237816 46.184391 0.789742 -6.316236 15.201965
337.027969 137.000513 46.375713 0.441324 -6.507558 15.575661
342.322006 132.976055 46.536457 0.085464 -6.668304 15.866862
346.701698 128.343887 46.678242 -0.211109 -6.810089 16.197428
330.781059 146.197472 46.480629 0.853573 -6.612474 14.980413
335.199852 142.132530 46.645721 0.556575 -6.777570 15.273411
339.261513 138.301563 46.782902 0.282147 -6.914749 15.548623
344.806595 132.911940 46.928928 -0.093621 -7.060776 15.931166
329.625816 151.615019 46.721001 0.926977 -6.852847 14.651033
334.817696 146.505976 46.916847 0.576302 -7.048694 15.018191
337.782516 144.265766 47.010345 0.375214 -7.142193 15.181126
341.195984 140.739269 47.082321 0.143793 -7.214168 15.428163
348.590546 137.280493 42.822937 -0.179601 -2.954782 15.035770
376.347160 132.697792 41.945084 -1.806964 -2.076931 15.181555
390.389557 170.173388 43.698330 -2.824707 -3.830179 13.110849
383.126602 153.955650 45.014858 -2.490033 -5.146707 14.285089
382.548409 155.391512 46.184448 -2.557361 -6.316295 14.334121
382.718620 151.556740 46.628860 -2.608410 -6.760708 14.643281
382.294617 149.745827 46.859100 -2.600655 -6.990948 14.793597
382.157173 146.685219 47.110027 -2.613735 -7.241873 15.031928
383.457222 149.138517 46.120373 -2.611513 -6.252221 14.738362
383.422585 146.135216 46.491852 -2.642889 -6.623699 14.986052
383.356743 143.178091 46.824032 -2.668579 -6.955880 15.228401
383.107605 138.749800 47.249760 -2.690297 -7.381608 15.586195
383.232880 143.571253 45.983021 -2.584325 -6.114868 15.086248
383.457680 139.724064 46.422649 -2.638946 -6.554497 15.401947
382.734032 136.521978 46.826382 -2.627137 -6.958230 15.673985
382.913322 133.004236 47.189083 -2.671729 -7.320931 15.964743
381.836433 138.519402 45.722668 -2.469593 -5.854516 15.380361
381.644897 135.201759 46.136650 -2.493540 -6.268497 15.659040
381.394081 131.968460 46.463882 -2.505708 -6.595731 15.922647
381.225090 129.325991 46.813515 -2.525071 -6.945361 16.153326
377.840004 146.901226 45.098888 -2.157012 -5.230737 14.749913
373.829231 141.171856 45.301262 -1.914172 -5.433110 15.147611
369.684258 135.596151 45.488094 -1.659187 -5.619942 15.536315
366.191444 129.294233 45.706329 -1.446613 -5.838175 15.980347
319.725742 243.339972 42.905853 1.586255 -3.037700 8.547120
318.260937 300.277748 45.279270 1.681935 -5.411117 4.852795
300.652332 375.242743 44.088181 2.788022 -4.220026 0.233831
291.837482 394.172444 45.864223 3.414662 -5.996071 -1.349586
293.112774 388.590896 47.021606 3.375561 -7.153455 -1.229563
356.409111 241.487718 42.078598 -0.619190 -2.210444 8.662411
370.640907 313.587656 41.386139 -1.424600 -1.517985 4.401114
379.791603 393.803902 38.873505 -1.750998 0.994649 0.210560
400.884933 419.290652 40.053841 -3.058774 -0.185688 -1.507130
406.287727 414.510791 41.130898 -3.500687 -1.262745 -1.502138
