# u v d x y z 
134.163828 248.278384 68.481941 -1.918095 -27.628307 9.488843
134.812155 236.332169 68.598495 -2.034654 -27.595716 10.658169
131.987619 222.618885 68.518921 -1.955078 -27.851141 12.000065
130.085964 204.461861 68.442352 -1.878510 -28.016510 13.773463
133.844452 184.141474 68.482956 -1.919113 -27.659821 15.763525
140.494308 174.164915 68.716675 -2.152829 -27.069181 16.761539
152.605686 168.843870 68.203865 -1.640024 -25.757616 17.231762
155.242281 169.723148 68.998917 -2.435076 -25.687853 17.225908
156.470032 157.000265 68.602486 -2.038641 -25.474220 18.432997
133.568993 192.157660 69.373245 -2.809404 -27.923882 15.040127
130.090389 192.654018 71.047363 -4.483521 -28.722815 15.104168
126.920452 220.822248 71.362663 -4.798816 -29.131517 12.253837
138.692102 234.162140 71.776253 -5.212407 -28.038563 10.897329
142.529106 236.099110 71.491814 -4.927967 -27.573011 10.697132
145.896225 238.858509 71.324005 -4.760164 -27.187387 10.415036
149.158220 241.509762 71.137230 -4.573386 -26.809433 10.145301
153.085842 244.411168 71.001289 -4.437445 -26.377874 9.851302
149.310732 241.651669 71.975166 -5.411321 -26.998260 10.128902
152.014952 245.650177 72.108749 -5.544904 -26.752262 9.716691
154.576454 248.870287 72.212082 -5.648237 -26.512817 9.383669
156.795769 252.224422 72.323799 -5.759957 -26.309919 9.035706
146.652060 243.611012 72.141228 -5.577386 -27.312752 9.926582
149.788847 247.811007 72.312431 -5.748584 -27.031107 9.491825
152.347012 251.784782 72.408440 -5.844596 -26.789835 9.079703
155.197401 255.223203 72.551132 -5.987288 -26.528584 8.720928
143.287096 244.608278 72.186218 -5.622373 -27.670898 9.823508
145.735130 248.169336 72.316231 -5.752389 -27.450817 9.454764
148.095551 251.364255 72.431084 -5.867237 -27.235170 9.122835
151.548386 255.488420 72.569641 -6.005800 -26.911236 8.693030
139.199162 245.083923 72.134361 -5.570520 -28.079065 9.774836
142.281475 249.317379 72.302483 -5.738635 -27.804119 9.336344
143.707972 251.577058 72.357094 -5.793247 -27.670532 9.102040
146.021366 254.029527 72.440384 -5.876536 -27.452101 8.846867
132.058659 191.154699 67.569489 -1.005648 -27.589275 15.013661
125.327110 189.675121 65.719688 0.844156 -27.724619 15.023494
125.771828 219.904833 65.237122 1.326719 -27.548971 12.171515
138.654280 234.304361 65.266899 1.296948 -26.356094 10.829781
140.342150 245.479302 64.798103 1.765743 -26.078402 9.791516
143.890095 250.175357 64.806061 1.757784 -25.751974 9.356693
145.433960 252.731867 64.823959 1.739882 -25.613508 9.119686
147.942286 255.555110 64.882156 1.681686 -25.395527 8.856944
144.426355 245.358067 65.071068 1.492777 -25.768797 9.800650
147.212410 249.294891 65.077087 1.486759 -25.511293 9.434608
149.884138 252.860370 65.098358 1.465487 -25.268082 9.102745
153.677645 257.551088 65.165092 1.398750 -24.931150 8.664845
147.419691 244.763975 65.382935 1.180910 -25.567429 9.853754
151.013002 249.368334 65.395164 1.168679 -25.234751 9.423523
153.780594 253.817482 65.431343 1.132504 -24.984789 9.007163
157.018290 257.664442 65.462723 1.101121 -24.689457 8.646782
149.282084 243.256116 65.758881 0.804965 -25.485161 9.992845
152.313795 247.647657 65.774063 0.789781 -25.203995 9.580132
155.067234 251.219845 65.820175 0.743668 -24.956139 9.243740
157.576370 254.919462 65.830276 0.733571 -24.722551 8.895655
141.154146 237.404852 65.756638 0.807205 -26.248137 10.542511
143.599834 241.093884 66.098732 0.465114 -26.104601 10.195436
145.856590 244.630423 66.448044 0.115798 -25.978403 9.859182
148.860388 248.352857 66.797760 -0.233912 -25.778767 9.501655
134.021807 257.245717 69.552460 -2.988616 -27.926619 8.585184
149.517756 298.434949 69.182854 -2.619007 -26.296917 4.523449
124.261751 341.876049 68.886833 -2.322987 -28.710260 0.273132
143.411674 357.761722 69.384285 -2.820444 -26.951212 -1.373859
155.302429 356.045508 69.518799 -2.954957 -25.804245 -1.226048
130.380297 255.506287 67.220421 -0.656579 -27.656727 8.809673
147.281656 297.835650 67.634743 -1.070902 -26.135933 4.710588
122.541800 342.926931 67.321968 -0.758121 -28.438099 0.399810
139.491644 361.452305 66.961906 -0.398062 -26.715111 -1.319382
151.684122 360.493784 66.985497 -0.421655 -25.554453 -1.231750
