# u v d x y z 
244.198055 224.854631 51.504841 -0.602107 -0.238288 9.952467
242.872868 208.970690 51.544575 -0.703989 -0.198556 11.122942
239.871368 190.626869 51.539867 -0.924466 -0.203262 12.473360
238.273926 166.457977 51.533894 -1.041386 -0.209237 14.252249
243.382359 139.581013 51.593529 -0.671832 -0.149603 16.239483
253.027802 126.715393 51.554474 0.042824 -0.188658 17.181423
265.719337 111.180925 51.225719 1.003037 -0.517410 18.265024
266.519794 113.835239 52.022232 1.000761 0.279103 18.214342
261.295071 96.877785 51.711475 0.638534 -0.031654 19.411039
243.307934 151.439781 52.485470 -0.775038 0.742340 15.478274
239.606647 154.479189 54.277500 -1.258368 2.534370 15.469318
274.638081 142.046356 54.605431 1.436694 2.862300 16.479240
276.679916 129.424524 52.991043 1.695880 1.247913 17.208824
276.726265 131.832619 52.473656 1.731374 0.730526 16.946577
277.477551 132.298822 51.986832 1.817264 0.243702 16.836729
278.294086 133.077507 51.511875 1.906204 -0.231256 16.706350
278.648357 133.135242 50.982136 1.963568 -0.760994 16.621231
274.965000 122.759142 51.716179 1.648078 -0.026950 17.499880
276.255970 118.540792 51.296089 1.769707 -0.447043 17.738642
277.027988 115.158949 50.922218 1.849232 -0.820911 17.919786
278.191051 111.504049 50.571533 1.954785 -1.171599 18.121292
278.313847 119.235363 51.882008 1.885617 0.138878 17.788828
279.353027 114.414310 51.422279 1.989332 -0.320852 18.063671
280.946465 110.557737 51.003757 2.129736 -0.739373 18.269585
281.607265 106.445103 50.600258 2.200015 -1.142872 18.492256
281.724358 117.812119 52.130112 2.124827 0.386982 17.937622
282.856121 113.910141 51.754986 2.229017 0.011854 18.160637
283.769894 110.383072 51.402439 2.314824 -0.340691 18.356134
284.693451 105.883112 50.907742 2.407593 -0.835387 18.591793
285.513420 117.880554 52.443241 2.391578 0.700110 17.987152
286.708622 113.108082 51.986919 2.502823 0.243790 18.261982
287.661743 110.939198 51.751991 2.584461 0.008859 18.379745
288.025684 108.297472 51.436428 2.625782 -0.306702 18.515678
240.578785 147.527046 50.651466 -0.771584 -1.091665 15.529369
230.975475 142.867470 48.858589 -1.238458 -2.884540 15.617751
259.578552 150.230484 47.065193 0.912778 -4.677939 14.873838
277.791748 136.969156 47.962975 2.083227 -3.780155 15.897618
291.301079 126.402254 47.887184 3.011974 -3.855947 16.609348
297.169304 123.070879 48.147263 3.404938 -3.595869 16.880693
300.422173 121.720076 48.266834 3.625332 -3.476298 16.993807
304.004650 120.262928 48.473648 3.867627 -3.269481 17.129658
291.446857 127.654324 48.299522 3.005128 -3.443609 16.589870
296.368046 124.979439 48.504578 3.337763 -3.238554 16.808130
300.815659 122.703638 48.708008 3.640373 -3.035124 16.999914
306.686401 120.101795 49.013180 4.043073 -2.729951 17.233229
291.180305 130.250130 48.651951 2.972226 -3.091178 16.466019
296.894512 126.970825 48.919567 3.360545 -2.823565 16.737152
302.511082 124.634571 49.137814 3.747608 -2.605318 16.936390
307.223873 122.084141 49.388222 4.073861 -2.354908 17.157602
289.987545 134.662457 48.951733 2.876472 -2.791397 16.204462
295.496082 131.823349 49.181072 3.253662 -2.562059 16.438444
299.997215 129.811506 49.403728 3.563543 -2.339403 16.614843
304.564228 127.447500 49.592690 3.881701 -2.150440 16.812069
283.005161 141.550026 48.355244 2.419712 -3.387885 15.638914
288.597755 143.838530 48.682621 2.791356 -3.060508 15.525799
294.000053 146.338377 49.001015 3.155241 -2.742114 15.394546
299.538631 148.220329 49.376862 3.531963 -2.366271 15.312084
244.457779 236.518250 52.651112 -0.706699 0.907981 9.099979
249.190083 294.859085 52.322582 -0.317522 0.579453 4.737570
226.136913 357.517748 51.593048 -1.942843 -0.150083 0.176527
250.533371 378.604939 52.103546 -0.195378 0.360418 -1.478773
265.904198 375.842564 52.364922 0.928529 0.621793 -1.323881
241.822701 235.169706 50.295231 -0.641790 -1.447898 9.185154
282.578335 279.238601 49.448204 2.331798 -2.294924 6.066271
264.820538 346.037321 49.530594 1.070887 -2.212536 1.335110
275.965080 379.478424 49.068123 1.888545 -2.675005 -0.938967
291.119671 385.538363 48.810463 2.961472 -2.932666 -1.310181
