# u v d x y z 
318.402672 220.244980 65.404968 -0.194852 -1.281777 14.926083
316.007862 232.463808 65.585106 -0.419639 -1.101639 13.786349
312.237396 246.573887 65.567276 -0.772707 -1.119471 12.464500
309.110222 265.353069 65.553177 -1.065404 -1.133568 10.706012
308.083134 286.950788 65.505402 -1.160774 -1.181347 8.686646
312.009621 299.000487 65.449890 -0.792702 -1.236856 7.563724
306.213226 313.031158 65.760872 -1.340790 -0.925875 6.219414
306.309605 313.463917 64.964279 -1.316156 -1.722466 6.262361
293.230438 315.269566 65.301186 -2.542867 -1.385557 6.058558
309.346809 279.403138 64.613243 -1.028942 -2.073503 9.443169
305.097389 279.384384 62.794106 -1.382455 -3.892638 9.547251
313.653526 308.116951 61.454514 -0.602774 -5.232233 7.100126
310.319958 326.946387 61.899467 -0.901589 -4.787279 5.391782
312.031231 329.619141 62.376907 -0.755699 -4.309838 5.094311
313.167782 333.215604 62.713627 -0.657708 -3.973116 4.728992
314.464893 336.571527 63.055180 -0.544199 -3.631567 4.381210
315.128460 340.422750 63.414494 -0.486927 -3.272252 3.982750
306.993771 338.533316 62.518299 -1.207215 -4.168445 4.280067
306.159420 343.933482 62.569298 -1.282741 -4.117447 3.790196
305.376682 348.378611 62.647625 -1.354342 -4.039119 3.380742
304.703274 352.906981 62.687031 -1.415471 -3.999713 2.969113
307.259426 340.324988 62.123638 -1.176305 -4.563105 4.176612
305.985565 346.196780 62.183182 -1.290549 -4.503564 3.646470
305.540409 351.499915 62.246716 -1.331407 -4.440031 3.165255
304.368267 356.401191 62.320087 -1.437277 -4.366659 2.717215
308.564415 340.614552 61.769390 -1.054703 -4.917356 4.201833
307.702141 345.532508 61.810383 -1.131512 -4.876360 3.761683
306.880817 349.991570 61.863377 -1.205028 -4.823368 3.359617
305.748711 355.833063 61.975021 -1.307353 -4.711722 2.824894
310.864830 339.912372 61.428242 -0.847258 -5.258502 4.312488
309.643784 345.865417 61.482445 -0.955211 -5.204300 3.781882
309.399395 348.907285 61.515465 -0.977176 -5.171282 3.509572
308.607540 352.466497 61.603813 -1.048202 -5.082932 3.182596
308.325195 278.677683 66.443390 -1.153767 -0.243353 9.409009
302.596416 277.294908 68.202263 -1.741267 1.515515 9.446550
308.202896 299.853930 69.834541 -1.222526 3.147795 7.109015
304.361076 317.459478 69.453842 -1.597295 2.767097 5.394749
303.428345 327.308550 69.979599 -1.702287 3.292853 4.351950
302.076950 332.620211 69.935265 -1.836251 3.248518 3.826805
301.732578 335.373302 69.913933 -1.870100 3.227186 3.554657
300.953293 338.770952 69.831062 -1.945678 3.144321 3.227003
301.857643 328.979287 69.613304 -1.849818 2.926558 4.231485
300.859356 333.399711 69.583199 -1.948271 2.896455 3.795903
299.933681 337.480259 69.537918 -2.038989 2.851171 3.396583
298.728600 343.012705 69.437172 -2.155642 2.750423 2.861816
301.221504 329.869494 69.244408 -1.903183 2.557659 4.190318
299.802532 335.231795 69.192902 -2.042062 2.506160 3.666884
299.150734 340.160308 69.148605 -2.105172 2.461859 3.186052
297.900352 344.776139 69.080032 -2.226524 2.393289 2.740348
301.594696 329.577456 68.845879 -1.855788 2.159136 4.270205
300.570755 334.592500 68.807861 -1.955440 2.121119 3.782106
299.710770 338.825912 68.739311 -2.037987 2.052565 3.375652
298.864918 343.045621 68.711044 -2.120196 2.024301 2.965443
306.397724 321.284552 69.028656 -1.386956 2.341909 5.064599
307.724552 325.620718 68.735100 -1.250967 2.048357 4.672905
309.208775 329.831614 68.439476 -1.100670 1.752733 4.297363
310.136070 334.597049 68.119736 -1.005502 1.432989 3.874652
318.215027 213.020926 64.116417 -0.209099 -2.570332 15.551405
295.604610 170.687428 63.253132 -2.250010 -3.433615 19.343456
249.698105 140.829792 62.805370 -6.353229 -3.881375 21.978004
235.520515 116.648169 62.350262 -7.570344 -4.336483 24.067429
239.842644 104.177599 62.223106 -7.170804 -4.463640 25.153534
318.866463 210.198298 66.446762 -0.153203 -0.239984 15.909156
349.997902 175.850716 66.345291 2.797566 -0.341458 19.160265
347.706795 124.389267 66.430748 2.583799 -0.255995 24.051844
364.913292 104.408484 66.052628 4.192452 -0.634120 25.874796
376.820526 103.963966 65.647087 5.283112 -1.039661 25.837929
