# u v d x y z 
402.773285 215.160427 77.627815 6.121406 -14.131323 18.199074
401.546097 204.624166 77.590866 6.084458 -13.990926 19.365646
399.528732 192.447653 77.595161 6.088751 -13.767801 20.715631
398.440742 176.403008 77.596367 6.089953 -13.647334 22.494293
402.903404 158.555260 77.420479 5.914070 -14.121196 24.452288
409.890099 150.405121 77.395309 5.888901 -14.890699 25.350475
423.275223 148.894472 76.963821 5.457407 -16.306963 25.461342
422.390442 150.011444 77.761452 6.255042 -16.326353 25.441074
427.787895 139.556265 77.391098 5.884687 -16.868914 26.549374
400.744972 165.343237 78.395912 6.889503 -13.994991 23.805565
395.019531 165.054760 80.182755 8.676346 -13.545270 24.029179
393.088226 189.912300 80.935776 9.429366 -13.402672 21.235710
403.722229 201.186848 80.873070 9.366661 -14.624702 19.928642
407.383690 202.563772 80.464958 8.958548 -14.996777 19.747736
410.604477 204.744558 80.192299 8.685885 -15.331713 19.483322
413.746643 206.832848 79.903702 8.397293 -15.653028 19.230412
417.464867 209.126530 79.647987 8.141581 -16.041855 18.957314
413.337021 207.254248 80.760117 9.253708 -15.720467 19.222372
415.852470 210.700436 80.817291 9.310884 -16.018505 18.827173
418.226395 213.457403 80.847092 9.340680 -16.296766 18.510002
420.302353 216.362514 80.895760 9.389352 -16.543505 18.176117
410.978241 209.217081 81.012642 9.506228 -15.481149 19.007023
413.858490 212.830153 81.095352 9.588942 -15.825577 18.592083
416.269760 216.256685 81.118027 9.611614 -16.108044 18.195887
418.888931 219.213467 81.179123 9.672715 -16.420193 17.855061
408.030472 210.320091 81.161842 9.655433 -15.158759 18.885696
410.288734 213.387194 81.223030 9.716622 -15.428487 18.532406
412.465401 216.134205 81.270851 9.764439 -15.687372 18.215290
415.648384 219.661818 81.309875 9.803465 -16.062248 17.806866
404.491119 210.965481 81.233002 9.726590 -14.756978 18.813818
407.310257 214.602499 81.314766 9.808353 -15.094328 18.394718
408.648109 216.547251 81.328735 9.822326 -15.251508 18.169275
410.762367 218.626213 81.345177 9.838769 -15.499282 17.928234
402.416153 165.030842 76.568466 5.062053 -13.966995 23.644835
399.751091 164.117489 74.783386 3.276974 -13.472105 23.551231
397.318153 190.850658 74.538551 3.032143 -13.185142 20.678043
407.590065 204.235353 74.456009 2.949597 -14.268606 19.248577
408.405304 214.570770 74.088348 2.581942 -14.308884 18.135885
411.199722 218.882761 74.041252 2.534846 -14.598514 17.678082
412.396240 221.191063 74.042877 2.536464 -14.725286 17.433968
414.411201 223.759317 74.055267 2.548857 -14.940090 17.162598
411.940651 214.452124 74.218803 2.712396 -14.700203 18.153206
414.130287 218.062935 74.185074 2.678663 -14.927826 17.769304
416.245918 221.330538 74.165230 2.658819 -15.149310 17.422478
419.280891 225.615463 74.168259 2.661848 -15.471298 16.968554
414.591904 213.807707 74.418678 2.912267 -15.008318 18.229010
417.448006 218.057642 74.372383 2.865975 -15.305511 17.775738
419.613419 222.094889 74.376999 2.870590 -15.536234 17.346912
422.213402 225.650940 74.351204 2.844792 -15.808723 16.968542
416.343002 212.221670 74.708366 3.201954 -15.234350 18.409121
418.734627 216.250420 74.681458 3.175048 -15.485804 17.978233
420.937195 219.516420 74.683235 3.176823 -15.721046 17.629843
422.917328 222.917604 74.659409 3.153001 -15.928804 17.266390
409.677773 206.578789 74.907486 3.401075 -14.548506 19.020872
411.663857 209.600315 75.220345 3.713934 -14.802008 18.711121
413.500557 212.478418 75.544632 4.038220 -15.042688 18.414597
415.971146 215.579224 75.844887 4.338479 -15.350484 18.090429
401.585693 222.358360 78.836975 7.330568 -14.140551 17.431318
415.468750 258.910418 78.561607 7.055200 -15.666563 13.322112
395.015640 297.443790 78.324844 6.818437 -13.345722 9.016907
407.861252 313.284116 78.944031 7.437619 -14.860771 7.179667
417.780457 312.998214 79.144958 7.638547 -16.007496 7.190957
403.098297 222.622061 76.482841 4.976431 -14.031446 17.343178
417.121696 259.973702 76.778694 5.272283 -15.604708 13.253651
393.805847 297.833061 77.152122 5.645710 -13.086708 9.070239
409.336090 314.124899 77.000420 5.494010 -14.779046 7.290661
419.910278 313.483644 76.992088 5.485677 -15.941025 7.362074
